Distance,Neighbor Value,Count
0,ifinfo USER IFINFO_IFD_NAME IFD,27558
1,ifinfo USER IFINFO_IFD_NAME IFD ae,1
1,ifinfo USER IFINFO_IFD_NAME IFD de,1
1,ifinfo USER IFINFO_IFD_NAME IFD desc,3
1,ifinfo USER IFINFO_IFD_NAME IFD descr,1
1,ifinfo USER IFINFO_IFD_NAME IFD description,1
1,ifinfo USER IFINFO_IFD_NAME IFD descriptions,184
1,ifinfo USER IFINFO_IFD_NAME IFD diag,1
1,ifinfo USER IFINFO_IFD_NAME IFD diagnostics,1
1,ifinfo USER IFINFO_IFD_NAME IFD extensive,179
1,ifinfo USER IFINFO_IFD_NAME IFD ge,620
1,ifinfo USER IFINFO_IFD_NAME IFD lo,181
1,ifinfo USER IFINFO_IFD_NAME IFD media,26910
1,ifinfo USER IFINFO_IFD_NAME IFD pp,1027
1,ifinfo USER IFINFO_IFD_NAME IFD summary,182
1,ifinfo USER IFINFO_IFD_NAME IFD terse,571
1,ifinfo USER IFINFO_IFD_NAME IFD xe,7285
1.414213538,ifinfo USER IFINFO_IFD_NAME IFD routing instance,209
2.828427076,chassisd DAEMON chan_count num_chan,2
2.828427076,rpd DAEMON ted_client reset,109
3,chassisd DAEMON CHASSISD_SIGPIPE SIGPIPE received,2
3.162277699,chassisd DAEMON CHASSISD_PARSE_COMPLETE Using new configuration,143
3.162277699,chassisd DAEMON jam_plugin_init registered coefficeints successfully,82
3.162277699,rpd DAEMON other_re_command_execute_by_iri other_re re iri,11
3.31662488,chassisd DAEMON CHASSISD_SNMP_TRAP ENTITY trap generated entConfigChanged,12
3.31662488,chassisd DAEMON FABRIC PLUGIN MPC INIT jam_mpc_fabric_plugin_init,220
3.31662488,chassisd DAEMON JAM PL Registered attributes for c,820
3.31662488,chassisd DAEMON JAM PL Registered attributes for d,264
3.31662488,chassisd DAEMON XFCHIP Hostif registered successfully xfchip_pre_init,3
3.31662488,chassisd DAEMON XFCHIP Initializing jspec module xfchip_pre_init,1
3.31662488,chassisd DAEMON XFCHIP Jspec registered successfully xfchip_pre_init,2
3.31662488,chassisd DAEMON XFCHIP Rcbusif registered successfully xfchip_pre_init,3
3.31662488,chassisd DAEMON jam_plugin_init MPC Fabric Plugin Init,325
3.31662488,chassisd DAEMON jam_plugin_init SCBE Fabric Plugin Init,166
3.31662488,chassisd DAEMON jam_plugin_init SFB Fabric Plugin Init,244
3.31662488,chassisd DAEMON jam_plugin_init SFB Fasic Plugin Init,243
3.31662488,chassisd DAEMON mpc_coef_setup registering fru_id c speed midplane_version,181
3.31662488,chassisd DAEMON mpc_coef_setup registering fru_id d speed midplane_version,173
3.464101553,chassisd DAEMON CHASSISD_HOST_TEMP_READ Error reading host temperature sensor,3
3.464101553,chassisd DAEMON CHASSISD_RECONNECT_SUCCESSFUL Successfully reconnected on soft restart,1
3.464101553,chassisd DAEMON JAM Plugin installed for ferrari_pic_xqsfpp PIC,112
3.464101553,chassisd DAEMON JAM Plugin installed for srxk_pic_xge PIC,222
3.464101553,chassisd DAEMON JAM Plugin installed for stout_load_mic PIC,115
3.464101553,chassisd DAEMON JAM Plugin installed for stout_mic_xge PIC,502
3.464101553,chassisd DAEMON JAM Plugin installed for stout_tic_xge PIC,115
3.464101553,chassisd DAEMON JAM PL Registered attributes for ccc,112
3.464101553,chassisd DAEMON JAM PL Registered attributes for ce,112
3.464101553,chassisd DAEMON JAM PL product model identified as,184
3.464101553,chassisd DAEMON XFCHIP PCIE handle created successfully xfchip_pre_init,2
3.464101553,chassisd DAEMON jam_core_fabric_attrib_set In config_mode returning for _HEXNUM_,1448
3.464101553,chassisd DAEMON jam_core_fasic_attrib_set In config_mode returning for _HEXNUM_,1376
3.605551243,usr sbin cron CRON root CMD adjkerntz a,341
3.605551243,usr sbin cron CRON root CMD newsyslog X,2289
3.605551243,chassisd DAEMON CHASSISD_IFDEV_CREATE_NOTICE create_pics created interface device for et,4
